Item,Operation OPCS codes,Description
K2.64,"W533, Z846",Revision of prosthetic replacement of articulation of bone not using cement NEC| Knee joint
K2.65,"W540, O182",Conversion from previous prosthetic replacement of articulation of bone NEC | Conversion to hybrid prosthetic replacement of knee joint using cement
K2.66,"W540, W402",Conversion from previous prosthetic replacement of articulation of bone NEC | Conversion to total prosthetic replacement of knee joint using cement
K2.67,"W540, W412",Conversion from previous prosthetic replacement of articulation of bone NEC | Conversion to total prosthetic replacement of knee joint not using cement
K2.68,"W540, W422",Conversion from previous prosthetic replacement of articulation of bone NEC | Conversion to total prosthetic replacement of knee joint NEC
K2.69,"W543, O182",Revision of prosthetic replacement of articulation of bone NEC | Conversion to hybrid prosthetic replacement of knee joint using cement
K2.70,"W543, W402",Revision of prosthetic replacement of articulation of bone NEC | Conversion to total prosthetic replacement of knee joint using cement
K2.71,"W543, W412",Revision of prosthetic replacement of articulation of bone NEC | Conversion to total prosthetic replacement of knee joint not using cement
K2.72,"W543, W422",Revision of prosthetic replacement of articulation of bone NEC | Conversion to total prosthetic replacement of knee joint NEC
K2.73,"W543, Z846",Revision of prosthetic replacement of articulation of bone NEC | Knee joint
K2.74,"W570, W402",Conversion from previous excision arthroplasty of joint | Conversion to total prosthetic replacement of knee joint using cement
K2.75,"W580, W402",Conversion from previous resurfacing arthroplasty of joint | Conversion to total prosthetic replacement of knee joint using cement
K2.76,"W580, W412",Conversion from previous resurfacing arthroplasty of joint | Conversion to total prosthetic replacement of knee joint not using cement
K2.77,"W580, W422",Conversion from previous resurfacing arthroplasty of joint | Conversion to prosthetic replacement of articulation of bone using cement NEC
K2.78,"W582, Z787",Revision of resurfacing arthroplasty of joint | Patella
K2.79,"W582, Z844",Revision of resurfacing arthroplasty of joint | Patellofemoral joint
K2.80,"W582, Z846",Revision of resurfacing arthroplasty of joint | Knee joint
K2.81,"W801, Z846",Open debridement and irrigation of joint | Knee Joint
