Item,Operation OPCS codes,Description
H2.57,"W940, W382",Conversion from previous hybrid prosthetic replacement of hip joint using cemented femoral component | Conversion to total prosthetic replacement of hip joint not using cement
H2.58,"W940, W392",Conversion from previous hybrid prosthetic replacement of hip joint using cemented femoral component | Conversion to total prosthetic replacement of hip joint NEC
H2.59,"W940, W932",Conversion from previous hybrid prosthetic replacement of hip joint using cemented femoral component | Conversion to hybrid prosthetic replacement of hip joint using cemented acetabular component
H2.60,"W940, W942",Conversion from previous hybrid prosthetic replacement of hip joint using cemented femoral component | Conversion to hybrid prosthetic replacement of hip joint using cemented femoral component
H2.61,"W940, W952",Conversion from previous hybrid prosthetic replacement of hip joint using cemented femoral component | Conversion to hybrid prosthetic replacement of hip joint using cement NEC
H2.62,W943,Revision of hybrid prosthetic replacement of hip joint using cemented femoral component
H2.63,W944,Revision of one component of hybrid prosthetic replacement of hip joint using cemented femoral component
H2.64,"W950, W372",Conversion from previous hybrid prosthetic replacement of hip joint using cement NEC |Conversion to total prosthetic replacement of hip joint using cement
H2.65,"W950, W382",Conversion from previous hybrid prosthetic replacement of hip joint using cement NEC |Conversion to total prosthetic replacement of hip joint not using cement
H2.66,"W950, W392",Conversion from previous hybrid prosthetic replacement of hip joint using cement NEC |Conversion to total prosthetic replacement of hip joint NEC
H2.67,"W950, W932",Conversion from previous hybrid prosthetic replacement of hip joint using cement NEC |Conversion to hybrid prosthetic replacement of hip joint using cemented acetabular component
H2.68,"W950, W942",Conversion from previous hybrid prosthetic replacement of hip joint using cement NEC |Conversion to hybrid prosthetic replacement of hip joint using cemented femoral component
H2.69,"W950, W952",Conversion from previous hybrid prosthetic replacement of hip joint using cement NEC |Conversion to hybrid prosthetic replacement of hip joint using cement NEC
H2.70,W953,Revision of hybrid prosthetic replacement of hip joint using cement NEC
H2.71,"W954, Y032",Attention to hybrid prosthetic replacement of hip joint using cement NEC | Renewal of prosthesis in organ NOC
H2.72,W955,Revision of one component of hybrid prosthetic replacement of hip joint using cement NEC
